Date,Time,Outdoor air temperature °C,Outdoor relative humidity %,Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C
12/07/2020,20:00:00,28.175,54.5,18.125,28.175,29.116666666666664,27.208333333333332,0.0,0.0,0.03416666666666667,29.025000000000002,48.25,17.0
12/07/2020,21:00:00,27.95,52.166666666666664,17.241666666666664,27.95,28.599999999999998,26.633333333333336,0.0,0.0,0.03341666666666667,27.541666666666668,50.083333333333336,16.2
12/07/2020,22:00:00,27.683333333333334,55.0,17.808333333333334,27.683333333333334,28.400000000000002,26.483333333333334,0.0,0.0,0.03233333333333333,26.625,54.0,16.533333333333335
12/07/2020,23:00:00,27.441666666666666,55.416666666666664,17.691666666666666,27.441666666666666,28.099999999999998,26.183333333333334,0.0,0.0,0.0315,26.441666666666666,55.0,16.641666666666666
13/07/2020,00:00:00,27.141666666666666,56.166666666666664,17.625,27.141666666666666,27.71666666666667,25.775000000000002,0.0,0.0,0.0305,26.508333333333336,55.0,16.708333333333332
13/07/2020,01:00:00,26.15833333333333,59.75,17.691666666666666,26.15833333333333,26.758333333333336,24.84166666666667,0.0,0.0,0.02716666666666667,26.891666666666666,55.0,17.09166666666667
13/07/2020,02:00:00,25.866666666666664,59.833333333333336,17.45,25.866666666666664,26.38333333333333,24.45,0.0,0.0,0.026,26.924999999999997,55.0,17.125
13/07/2020,03:00:00,25.666666666666668,61.25,17.616666666666667,25.666666666666668,26.233333333333334,24.291666666666668,0.0,0.0,0.025333333333333333,26.899999999999995,55.0,17.1
13/07/2020,04:00:00,25.258333333333336,61.916666666666664,17.441666666666666,25.258333333333336,25.849999999999998,23.900000000000002,0.0,0.0,0.024000000000000004,26.816666666666666,56.0,17.316666666666666
13/07/2020,05:00:00,24.675,63.833333333333336,17.358333333333334,24.675,25.291666666666668,23.325,0.0,0.0,0.022000000000000002,26.650000000000002,56.0,17.150000000000002
13/07/2020,06:00:00,24.491666666666664,63.666666666666664,17.175,24.491666666666664,25.125,23.133333333333336,0.0,0.0,0.021166666666666667,26.558333333333334,56.0,17.058333333333334
13/07/2020,07:00:00,23.65833333333333,65.58333333333333,16.816666666666666,23.65833333333333,24.366666666666664,23.141666666666666,0.0,0.0,0.01833333333333333,26.34166666666667,56.0,16.841666666666665
13/07/2020,08:00:00,23.7,66.08333333333333,16.974999999999998,23.7,24.433333333333334,23.28333333333333,0.0,0.0,0.0185,26.208333333333332,56.333333333333336,16.808333333333334
13/07/2020,09:00:00,24.316666666666666,65.91666666666667,17.55,24.316666666666666,25.075,23.958333333333332,2.9166666666666665,3.024,0.020666666666666667,26.275000000000002,57.0,17.075
13/07/2020,10:00:00,25.09166666666667,63.083333333333336,17.575,25.09166666666667,25.71666666666667,24.633333333333336,5.416666666666667,5.616,0.023500000000000004,26.733333333333334,57.666666666666664,17.691666666666666
13/07/2020,11:00:00,25.7,58.0,16.8,25.7,26.150000000000002,24.991666666666664,1.8333333333333333,1.9008,0.0255,27.474999999999998,54.25,17.400000000000002
13/07/2020,12:00:00,27.7,54.166666666666664,17.591666666666665,27.7,28.366666666666664,27.208333333333332,0.0,0.0,0.0325,28.5,51.0,17.400000000000002
13/07/2020,13:00:00,28.491666666666664,50.416666666666664,17.175,28.491666666666664,29.3,28.125,0.0,0.0,0.035250000000000004,29.099999999999998,47.583333333333336,16.833333333333332
13/07/2020,16:00:00,32.49166666666667,41.25,17.6125,32.49166666666667,33.63333333333333,32.55416666666667,4.375,2.16825,0.09833333333333334,30.6125,44.875,17.2625
13/07/2020,17:00:00,32.80833333333333,39.458333333333336,17.204166666666666,32.80833333333333,33.82916666666667,33.275,52.125,25.07055,0.10066666666666667,32.44166666666667,41.625,17.666666666666668
13/07/2020,18:00:00,31.558333333333334,42.458333333333336,17.20416666666667,31.558333333333334,32.395833333333336,32.895833333333336,96.625,51.06075,0.09141666666666666,32.454166666666666,41.791666666666664,17.841666666666665
13/07/2020,19:00:00,29.604166666666668,48.541666666666664,17.6125,29.604166666666668,30.545833333333334,29.4875,48.125,25.83105,0.07825,31.195833333333336,44.666666666666664,17.733333333333334
13/07/2020,20:00:00,28.295833333333334,49.25,16.658333333333335,28.295833333333334,28.8875,27.308333333333334,7.916666666666667,4.6779,0.06945833333333333,28.7375,47.791666666666664,16.566666666666666
13/07/2020,21:00:00,26.708333333333332,54.041666666666664,16.6375,26.708333333333332,27.045833333333334,25.379166666666666,0.0,0.0,0.05824999999999999,26.195833333333336,53.25,15.9125
13/07/2020,22:00:00,25.474999999999998,58.541666666666664,16.7375,25.474999999999998,25.879166666666666,24.21666666666667,0.0,0.0,0.049416666666666664,24.629166666666666,58.166666666666664,15.829166666666666
13/07/2020,23:00:00,24.333333333333332,62.125,16.583333333333332,24.333333333333332,24.858333333333334,23.170833333333334,0.0,0.0,0.041458333333333326,23.53333333333333,61.5,15.691666666666665
14/07/2020,00:00:00,23.395833333333332,66.33333333333333,16.7375,23.395833333333332,24.09166666666667,22.40833333333333,0.0,0.0,0.034875,22.59583333333333,65.66666666666667,15.8375
14/07/2020,01:00:00,22.599999999999998,70.16666666666667,16.8875,22.599999999999998,23.145833333333332,21.479166666666668,0.0,0.0,0.029625,21.945833333333336,69.125,16.025000000000002
14/07/2020,02:00:00,21.75,73.625,16.8125,21.75,22.17916666666667,20.495833333333334,0.0,0.0,0.023749999999999997,21.370833333333334,71.91666666666667,16.091666666666665
14/07/2020,03:00:00,21.037499999999998,76.625,16.779166666666665,21.037499999999998,21.5,19.833333333333332,0.0,0.0,0.018833333333333334,20.7625,74.79166666666667,16.120833333333334
14/07/2020,04:00:00,20.508333333333333,79.25,16.779166666666665,20.508333333333333,21.258333333333333,19.579166666666666,0.0,0.0,0.014958333333333325,20.275000000000002,77.45833333333333,16.2375
14/07/2020,05:00:00,19.770833333333332,81.79166666666667,16.541666666666668,19.770833333333332,20.470833333333335,18.816666666666666,0.0,0.0,0.009916666666666659,19.558333333333334,79.58333333333333,15.941666666666668
