Date,Time,Outdoor air temperature °C,Outdoor relative humidity %,Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C,Saturation vapor pressure es (kPa),Actual vapor pressure ea (kPa),Vapor pressure deficit VPD (kPa),Slope vapor pressure curve Delta (kPa/C),Atmospheric pressure P (kPa),Psychrometric constant Gamma (kPa/C),Outdoor solar radiation Rs (MJ/m2/h),Indoor solar radiation Rs (MJ/m2/h),Extraterrestrial radiation Ra (MJ/m2/h),Clear-sky radiation Rso (MJ/m2/h),Net shortwave radiation Rns (MJ/m2/h),Net longwave radiation Rnl (MJ/m2/h),Net radiation Rn (MJ/m2/h),Soil heat flux G (MJ/m2/h),Evapotranspiration ETo (mm/h)
12/07/2020,20:00:00,28.175,54.5,18.125,28.175,29.116666666666664,27.20833333333333,0.0,0.0,0.0341666666666666,29.025,48.25,17.0,4.011468375240587,1.935533491053583,2.075934884187004,0.23176692323375464,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.1639055752791389,-0.1639055752791389,-0.08195278763956945,0.008812264033418879
12/07/2020,21:00:00,27.95,52.16666666666666,17.241666666666664,27.95,28.6,26.633333333333336,0.0,0.0,0.0334166666666666,27.541666666666668,50.083333333333336,16.2,3.680220141017365,1.8431769206261972,1.837043220391168,0.21501716299213613,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.16591616506106693,-0.16591616506106693,-0.08295808253053347,0.00694914227503103
12/07/2020,22:00:00,27.683333333333334,55.0,17.808333333333334,27.683333333333334,28.4,26.48333333333333,0.0,0.0,0.0323333333333333,26.625,54.0,16.533333333333335,3.4876494226549415,1.8833306882336684,1.604318734421273,0.20518410626847428,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.16165119766407235,-0.16165119766407235,-0.08082559883203617,0.004892432602152694
12/07/2020,23:00:00,27.441666666666663,55.41666666666666,17.691666666666666,27.441666666666663,28.1,26.183333333333334,0.0,0.0,0.0315,26.441666666666663,55.0,16.641666666666666,3.4502070524307644,1.8976138788369206,1.5525931735938439,0.20326360323864515,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.1604631352400003,-0.1604631352400003,-0.08023156762000015,0.0044018347822835134
13/07/2020,00:00:00,27.141666666666666,56.16666666666666,17.625,27.141666666666666,27.71666666666667,25.775,0.0,0.0,0.0305,26.508333333333336,55.0,16.708333333333332,3.4637817348314957,1.9050799541573227,1.558701780674173,0.20396021048461255,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.16019231400615713,-0.16019231400615713,-0.08009615700307857,0.004454682835966891
13/07/2020,01:00:00,26.15833333333333,59.75,17.691666666666666,26.15833333333333,26.758333333333336,24.84166666666667,0.0,0.0,0.0271666666666666,26.891666666666666,55.0,17.09166666666667,3.5427428557020004,1.9485085706361005,1.5942342850659,0.20800479935268718,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.15861084322539845,-0.15861084322539845,-0.07930542161269923,0.004763752588249287
13/07/2020,02:00:00,25.866666666666664,59.833333333333336,17.45,25.866666666666664,26.38333333333333,24.45,0.0,0.0,0.026,26.925,55.0,17.125,3.5496825516430617,1.952325403403684,1.5973571482393776,0.20835966798479796,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.1584713609134618,-0.1584713609134618,-0.0792356804567309,0.00479104882184139
13/07/2020,03:00:00,25.666666666666668,61.25,17.616666666666667,25.666666666666668,26.23333333333333,24.291666666666668,0.0,0.0,0.0253333333333333,26.899999999999995,55.0,17.1,3.5444766708090327,1.9494621689449683,1.5950145018640645,0.20809346882072421,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.15857600222481463,-0.15857600222481463,-0.07928800111240732,0.004770570307780758
13/07/2020,04:00:00,25.258333333333336,61.91666666666666,17.441666666666666,25.258333333333336,25.85,23.9,0.0,0.0,0.024,26.816666666666663,56.0,17.316666666666666,3.5271717344583484,1.9752161712966754,1.551955563161673,0.207208203084344,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.15698945057122568,-0.15698945057122568,-0.07849472528561284,0.004356299022577004
13/07/2020,05:00:00,24.675,63.833333333333336,17.358333333333334,24.675,25.291666666666668,23.325,0.0,0.0,0.022,26.65,56.0,17.150000000000002,3.492782527224105,1.9559582152454988,1.536824311978606,0.20544717183601532,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.15769233123286033,-0.15769233123286033,-0.07884616561643017,0.004220728950091992
